"Area Code","Area Name","Area Type","Healthy People Domain","Difficulties in daily life [Pe]","Disability [Pe1]","Frailty [Pe1]","Mental health [Pe]","Children's social, emotional and mental health [Pe2]","Mental health conditions [Pe2]","Self-harm [Pe2]","Suicides [Pe2]","Mortality [Pe]","Avoidable mortality [Pe3]","Infant mortality [Pe3]","Life expectancy [Pe3]","Mortality from all causes [Pe3]","Personal well-being [Pe]","Activities in life are worthwhile [Pe4]","Feelings of anxiety [Pe4]","Happiness [Pe4]","Life satisfaction [Pe4]","Physical health conditions [Pe]","Cancer [Pe5]","Cardiovascular conditions [Pe5]","Dementia [Pe5]","Diabetes [Pe5]","Kidney and liver disease [Pe5]","Musculoskeletal conditions [Pe5]","Respiratory conditions [Pe5]","Healthy Lives Domain","Behavioural risk factors [L]","Alcohol misuse [L1]","Drug misuse [L1]","Healthy eating [L1]","Physical activity [L1]","Sedentary behaviour [L1]","Sexually transmitted infections [L1]","Smoking [L1]","Children and young people [L]","Early years development [L2]","Pupil absences [L2]","Pupil attainment [L2]","Teenage pregnancy [L2]","Young people in education, employment and apprenticeships [L2]","Physiological risk factors [L]","High blood pressure [L3]","Low birth weight [L3]","Overweight and obesity in adults [L3]","Overweight and obesity in children [L3]","Protective measures [L]","Cancer screening attendance [L4]","Child vaccination coverage [L4]","Healthy Places Domain","Access to green space [Pl]","Private outdoor space [Pl1]","Access to services [Pl]","Distance to GP services [Pl2]","Distance to pharmacies [Pl2]","Distance to sports or leisure facilities [Pl2]","Internet access [Pl2]","Patients offered acceptable GP practice appointments [Pl2]","Crime [Pl]","Low-level crime [Pl3]","Personal crime [Pl3]","Economic and working conditions [Pl]","Child poverty [Pl4]","Job-related training [Pl4]","Unemployment [Pl4]","Workplace safety [Pl4]","Living conditions [Pl]","Air pollution [Pl5]","Household overcrowding [Pl5]","Noise complaints [Pl5]","Road safety [Pl5]","Rough sleeping [Pl5]","Region"
"E12000001","North East","Region",83.2,88.3,82.4,98.4,86.7,89.9,91.9,90,90.8,87.6,89,102.7,88,81.3,85.7,90.8,84.9,89.4,85.7,94.8,100.7,94,97.7,96.6,95.5,93,96.8,95.7,93.7,87.2,96.6,94.2,97.1,94.5,93.4,103.4,99.1,111.7,93.3,103.4,102.5,89.6,86.5,97,93.5,89.2,88.3,106.8,107.1,105.1,104.6,109.3,109.3,99.1,97.9,98,100.2,103,97.4,94.2,101.1,88,92.4,92.7,99.2,92.4,102.8,116.1,131.9,123.3,95.7,107.2,104.8,NA
"E06000001","Hartlepool","LTLA",82.4,87.4,78.5,100.9,90.9,95.2,93.1,96.5,89.5,85.4,83.1,116,83,78.2,83.6,91,82,86.2,84,93,95.4,99.4,85.6,96.9,97.6,90.2,94.9,84.1,79.3,87.6,83.4,85.5,76.1,84.8,90.2,97.9,93.8,112.4,83.2,100.4,99.3,87.7,75.9,97.9,93.7,79.9,77.1,100.1,98,102.1,101.4,111.3,111.3,103,101,97,111.6,103.1,98.3,85.6,93.2,80.1,89.5,90.6,110.4,88.5,93.5,114.1,130.9,123.9,97.6,105.2,93.7,"North East"
"E06000002","Middlesbrough","LTLA",78.6,86.2,90,87.4,82.3,89.2,93.8,88.3,79.6,73,74.4,101.7,74.8,62.1,83.3,87.4,91.7,88.8,77.9,102.8,110.7,98.1,108.8,99.4,95.4,101.3,103.2,75.1,76.1,88.3,79.1,82.2,81.9,74.4,75.4,103.5,80.2,94.5,70.5,96.5,87.1,69.7,71.5,104.3,80.9,84.5,74.5,92.4,93.3,93.2,93.7,112.5,112.5,102.6,101.8,101.7,101.8,105.3,109.2,81.8,93.7,72.5,83.3,79.3,92.1,89.7,115.6,104.5,127.8,105.2,92,97.5,97.4,"North East"
"E06000003","Redcar and Cleveland","LTLA",84.9,84.9,69.7,105.6,82.4,87,97.8,90.2,75.3,88,87.7,103.3,87.7,83.9,93.2,95.7,90.3,100.7,89.7,100.4,95.2,96.1,102,108.4,112.7,100.1,95.7,89.2,89.2,94.6,99.4,75.5,102.3,95.4,71.2,99.6,96,108.8,89.6,104.2,90.4,90.8,74.4,103.7,88,79.7,77.5,105.7,105.9,104.2,106.2,112.8,112.8,99.5,96.3,100.6,99.1,100.7,97.3,90.4,96.7,85.5,91.8,93.5,102.5,91.2,91.7,120.3,131.5,126.8,101,110.7,110.2,"North East"
"E06000004","Stockton-on-Tees","LTLA",86.2,95.3,90.2,102.1,91.9,96,88.5,96.4,95.9,89.2,91.7,97.2,89.2,85.3,87.6,94.5,86.5,88.3,87.6,89.3,90.7,90.9,88.9,91.4,97.9,88,96.2,100.4,98.9,91.2,89,96,105.5,104.3,70,111,102.8,115,100,112.8,97.2,91.6,94.5,91.3,96.9,90.6,97.6,105,103.8,105,103.5,112,112,95.4,93.3,95.6,97.2,102.4,96.5,94.1,103.4,85.7,95.4,95.8,111.4,93.3,101,111.5,129.5,121.2,85.4,106.6,100.2,"North East"
"E06000005","Darlington","LTLA",83.5,92.6,95,92.8,85.5,88,93.6,87.5,90.5,87.8,92,90.2,89.1,84.4,76.6,83.3,73.7,81.6,79.9,101.8,100,100.2,98.2,99.3,102.9,97.8,109.9,97.8,97.5,91.2,92.2,88.4,101.8,95.6,116.1,108.8,103.2,111.7,98,108.8,104.7,100.6,85.8,100,92.2,92.8,86.4,106.2,109.1,101.9,105.5,112.9,112.9,97,98.1,96.9,99,91.7,109.4,93,102.6,84.3,94.9,94.4,108.3,93.2,108.6,115.6,131.1,120.7,93.4,110.1,105.4,"North East"
"E06000047","County Durham","LTLA",82.7,85.5,76.2,100.2,85.3,90.3,88,94.9,84.1,86.9,89.5,104.5,87.7,77.7,92.8,96.9,93.8,96.1,89.2,91,95.1,92.3,94.3,91.4,94.8,89.5,96.4,99.1,97.5,92.9,100.7,102.1,98.8,94.8,97.3,101.2,101.4,111.5,99.6,102.7,105.3,91,87.4,90.7,90.1,96.6,88,110.9,110.2,109.2,107.5,111.5,111.5,96.2,95.6,93.8,101.1,98.6,100.9,94.8,103.5,86.9,92.8,93.9,99,93.1,94.1,122.8,134.4,132.8,97.4,115.8,104.8,"North East"
"E06000057","Northumberland","LTLA",86.8,91.5,81.9,104.2,80.5,86.7,91.2,76.8,93.2,100.1,101.7,101.4,98.8,98.9,90.5,93.3,88.9,89.8,94.3,93,97.2,91.4,100.7,97.5,98.1,92,92.3,104.6,98,87.1,104.7,101.8,98.8,95,91.3,109.3,108,117,103.1,109.8,110.4,95.1,97.9,92.6,99.6,83.3,104.1,111,115.5,104.1,111,108.5,108.5,86.1,84.9,89,86.9,93.1,97.6,104.1,110.6,97,96.4,96.8,99,96.3,99.9,131.4,137.7,141.5,109.5,122.8,105.5,"North East"
"E08000021","Newcastle upon Tyne","LTLA",81.8,98.2,96,101.1,89,96.7,82.2,97,92.8,86.2,86.4,99,87.7,81.6,82.2,88,76.8,90.9,82,82.9,105.8,88.9,94.1,81.3,75,82.8,81.8,92.7,99.6,85.1,88.9,95.9,106.2,102.2,101.3,104.9,92.6,108.3,85.6,97.4,102.2,79.4,83.8,92.2,84.3,102.4,83.2,100.5,102.4,98.4,93.8,95.1,95.1,104.6,104.5,104.2,101.5,113.4,70.1,90.3,92.5,89.6,90.1,87.3,100.4,91.3,121.9,104.9,129.9,104.7,90.3,97.8,99.8,"North East"
"E08000022","North Tyneside","LTLA",86.7,92.8,89.3,98.8,80.1,81.8,97,71.8,96.3,95.1,96.1,109.5,93,90.2,84.9,94.5,79.2,88.3,84.6,102.1,104.9,98.8,99.6,103.3,107.7,99.5,100.3,103.5,105.9,82.1,101.3,106,111.9,106.2,101.5,104.3,105.3,112.7,105.4,106.7,109.2,98.1,90.9,103.3,103.9,91.8,88.8,109.1,106.9,109.4,111.1,112.2,112.2,104.9,101.9,103.2,103.1,109.6,105,96.5,100.7,92.9,97.1,99.1,95.4,93.9,105.8,116.1,129.6,130.6,98.6,99,106.9,"North East"
